,z,a,b,wolfram,stan_grad_reg_inc_beta,stan_inc_beta,stan_inc_beta_strict,inbeder,stan_grad_reg_inc_beta_abserr,stan_inc_beta_abserr,stan_inc_beta_strict_abserr,inbeder_abserr,stan_grad_reg_inc_beta_relerr,stan_inc_beta_relerr,stan_inc_beta_strict_relerr,inbeder_relerr,stan_grad_reg_inc_beta_abserr_log,stan_inc_beta_abserr_log,stan_inc_beta_strict_abserr_log,inbeder_abserr_log,stan_grad_reg_inc_beta_relerr_log,stan_inc_beta_relerr_log,stan_inc_beta_strict_relerr_log,inbeder_relerr_log
67,0.5,1500.0,125.0,-6.2215592792305081722184548700494997369640401514641310282014314262034115078709885175394076172187808972899042480150033516758778844900091616721145861425798312493426618928938823926639346304151399173873875812156815912698254063194405617362533177438411287432237098303531200693547830882416044171595927053651096284020062560054882444927508338312862631872081739811559611384575089292171439730213427432155061602846369069252335920025450935744863562613640228463357649674975866615405292728408436752092972378677660098484775282912444112395790026886778713938614964415971498439709712514483231713563944062343463191960259202365998870599737574816486019320145621982885706516143130291022778553039506381238436604336971030103848307834905895230548367180745117366313934326171875E-301,0,-6.22893239666534678338902411309205584961391416772763449780375000675999952416672582129648434477574799753001359146940606740832525946326723700163435246963254827155942693022940688918664344236521461212415256272464648481567202960842023996041471892124889294771763681634742267013823276053070508610643471957090101028723703791157520267605250770987262184732646297108808309742582023534870536457447503027721533678868832975627369967114067089076763673737037618826675132742697457511480963753530088376768136009314739016558459461943726114772338133571286645766733584288426742367519592352051864989948835845015244185937248677718940124559493279286233148883085590531518029566970217080634660852850822797139784786623358876635038616103624831144003337612957693636417388916015625E-301,-6.22893239666671613379788139038290116344944308217703202627320963439729424014221069231378862847646422325046710272463005661384797221540848611487924598925010212124932929226779128399822707603019228033634847628041417536451575203239425933731637999944070948576218121938980918460400412385259103258715582564164228619722521640838707914126286808810934562862620369072113706696067020716229675463715732277322232795374906441386111213610511427777545318854354994816863735828145385482001443123550951697731248531712278954728435504355134753730514671607959389540190795214412386862950206865764947659328986354790767477120414789597260689928909523621899897383519225694177451545954459384404060888649779900795402335246167365101069965838305464433943825497408397495746612548828125E-301,-6.22893239170439084701372317425802169634265590527028849089922442180990294042454619992884393815566446815281988626490540666378423235746975194625998817837505255910185956274948118387991545341681553388275933073550446237957524010902365045369312293551937924563034676420254416046741920195044907304486894323477375690504039916567490124348157116665655539151022875152096010500543391232143882631137744967974209145278994484924308112464835439804421015462764796802921627498194855284831395034494969580482334935921129385716573908475336667257505186394116828619137724529657392787956604273862413151323343058660992575855678489703092067689499815771675579473711195071979161038122206842204986606415282027101727825199536674015068446626751386130393939311034046113491058349609375E-301,6.221559279230508172218454870E-301,7.373117434838611170569243043E-304,7.373117436207961579426520333E-304,7.373112473882674795268304209E-304,1,0.001185091566908694542966455,0.001185091567128792165989769,0.001185090769527248233114780,-691.2500924278945,-697.9880276636219,-697.9880276634361,-697.9880283364658,0.0,-6.737935235727436,-6.737935235541714,-6.737935908571406
68,0.5,1500.0,1250.0,-7.94821357113790821633786246903918826234303196542896330356597900390625E-8,NaN,-8.28867908895844271165254482126860668955714572803117334842681884765625E-8,-8.2886790905882677745568072429083184005094153690151870250701904296875E-8,-8.288679090588328655049891145745188936189151718281209468841552734375E-8,NaN,3.404655178205344953146823522E-9,3.404655194503595582189447739E-9,3.404655194504204387120286767E-9,NaN,0.042835476773907530310978206,0.042835476978963049808163542,0.042835476978970709453005620,,-19.498122171722542,-19.498122166935495,-19.498122166935318,,-3.150388623152818,-3.1503886183657697,-3.1503886183655907
69,0.5,1500.0,12500.0,1.540742696606633987954637632356025278568267822265625,NaN,-0,-0,-0,NaN,1.540742696606633987954637632,1.540742696606633987954637632,1.540742696606633987954637632,NaN,1,1,1,,0.4322645706942731,0.4322645706942731,0.4322645706942731,,0.0,0.0,0.0
70,0.5,15000.0,1.25,0,0,-0,-0,-0,0,0,0,0,,,,,-inf,-inf,-inf,-inf,,,,
71,0.5,15000.0,12.5,0,0,-0,-0,-0,0,0,0,0,,,,,-inf,-inf,-inf,-inf,,,,
72,0.5,15000.0,125.0,0,0,-0,-0,-0,0,0,0,0,,,,,-inf,-inf,-inf,-inf,,,,
73,0.5,15000.0,1250.0,0,NaN,-0,-0,-0,NaN,0,0,0,,,,,,-inf,-inf,-inf,,,,
74,0.5,15000.0,12500.0,-8.68143619848954021796339719105648356770208066307152270190771266629253196379034057400181064533583249711408839800273850772191597366563009519069282760028727352619171142578125E-53,NaN,-8.7210244279040144686831667218218324263628408748178763360305952328248212162821860220840872060644005381338433939938460102381193936988378057062476500504999421536922454833984375E-53,-8.7210244282724795892801537874376515437744602887967834860228366754265012103169407172465068353284755258074014737618308457872514768342668556311281236048671416938304901123046875E-53,-8.7208327135556697928502094949473308163113322688677152630314956468398962894891823661870275389512712473588025101870314651289357098609168750247278012466267682611942291259765625E-53,NaN,3.958822941447425071976953077E-55,3.958822978293937131675659638E-55,3.939651506612957488681230389E-55,NaN,0.004560101405958855113797755,0.004560101448401731173993339,0.004538018153376980274028881,,-125.26623337059803,-125.26623336129059,-125.27108784537285,,-5.390410417554235,-5.390410408246793,-5.395264892329055
75,0.75,1.5,1.25,-0.16616346990915520365206248243339359760284423828125,-0.16616346990915487058515509488643147051334381103515625,-0.1661634699052132457808284016209654510021209716796875,-0.1661634699091552314076380980623071081936359405517578125,-0.1661634699091549816074575574020855128765106201171875,3.330669073875469621270895004E-16,3.941957871234080812428146601E-12,2.775557561562891351059079170E-17,2.220446049250313080847263336E-16,2.0044532505829E-15,2.37233723717326422E-11,1.67037770882E-16,1.3363021670553E-15,-35.63818828100899,-26.259343594410357,-38.123094930796995,-36.04365338911715,-33.84340506431575,-24.4645603777171,-36.3283117141032,-34.24887017242389
76,0.75,1.5,12.5,-2.4715639357353330361334966570885374181898441747762262821197509765625E-7,-2.471564122908201915822874912553874793275099364109337329864501953125E-7,-2.471564205631927703960405533212263406994679826311767101287841796875E-7,-2.471564321650221071795055192976686697647892287932336330413818359375E-7,-2.47156431790935405859682520712805597895567188970744609832763671875E-7,1.871728688796893782554653374E-14,2.698965946678269088761237260E-14,3.859148880356615585358881493E-14,3.821740210224633285500395186E-14,7.5730538940722248048E-8,1.09200733497322213502E-7,1.56141980571845980547E-7,1.54628417859949046624E-7,-31.609328865563022,-31.243322584974717,-30.885744640069948,-30.895485430615828,-16.396084337238022,-16.03007805664972,-15.672500111744949,-15.682240902290832
77,0.75,1.5,125.0,-4513277309393.7412109375,7.9638300324272006166980629543881617903033909300347659154795110225677490234375E-13,2.60902410786911747556508180950752502851071735860688516339678244548849761486053466796875E-15,2.60902410786911747556508180950752502851071735860688516339678244548849761486053466796875E-15,-2.7380960195755169022036829746442914521125407967748823133161330034145440487978027944271224147276935033957618914483976476081121553291028316123411622029347130057860837226911920633349250241150851792326648137532174587249755859375E-74,4513277309393.741210937500796,4513277309393.741210937500003,4513277309393.741210937500003,4513277309393.741210937500000,1.000000000000000000000000176,1.000000000000000000000000001,1.000000000000000000000000001,1.000000000000000000000000000,29.138044681682388,29.138044681682388,29.138044681682388,29.138044681682388,0.0,0.0,0.0,0.0
78,0.75,1.5,1250.0,6.80752649066060211424655790324322879314422607421875,6.14085982399393515152041800320148468017578125,-0,-0,-0,0.6666666666666669627261399000,6.807526490660602114246557903,6.807526490660602114246557903,6.807526490660602114246557903,0.0979308222423051716252622713,1,1,1,-0.40546510810816394,1.9180288369516107,1.9180288369516107,1.9180288369516107,-2.323493945059775,0.0,0.0,0.0
79,0.75,1.5,12500.0,9.1093918739268300299727343372069299221038818359375,8.44272520726016040271133533678948879241943359375,-0,-0,-0,0.6666666666666696272613990004,9.109391873926830029972734337,9.109391873926830029972734337,9.109391873926830029972734337,0.0731845413934625662764212135,1,1,1,-0.40546510810815994,2.209305955358431,2.209305955358431,2.209305955358431,-2.614771063466591,0.0,0.0,0.0
80,0.75,15.0,1.25,-0.005917310814171648780668277822769596241414546966552734375,-0.005917310814171658321647395695208615506999194622039794921875,-0.005917310814150600513372513233889549155719578266143798828125,-0.00591731081417166786262651356764763477258384227752685546875,-0.00591731081417145969580939635079630534164607524871826171875,9.540979117872439019265584648E-18,2.104826729576458888004708569E-14,1.908195823574487803853116930E-17,1.890848588814719732908997685E-16,1.612384310627E-15,3.5570663696345126E-12,3.224768621254E-15,3.19545254287849E-14,-39.19093556079835,-31.491958151910655,-38.497788380238404,-36.20433577080763,-34.06106237314431,-26.362084964256766,-33.36791519258437,-31.074462583153743
81,0.75,15.0,12.5,-0.0040391270062853923406009926111437380313873291015625,-0.004039127217349677313740219375404194579459726810455322265625,-0.0040391272149229266730241505456433515064418315887451171875,-0.0040391272173527330291431525211010011844336986541748046875,-0.004039127217353835445912135782009499962441623210906982421875,2.110642849731392267642604565E-10,2.086375343324231579344996135E-10,2.110673406885421599099572632E-10,2.110684431053111431708657619E-10,5.2254926533554530910E-8,5.1654115854182543353E-8,5.2255683062229707023E-8,5.2255955996645304195E-8,-22.278858360735246,-22.290422655068646,-22.278843883187402,-22.27883866014396,-16.767131662822766,-16.778695957156167,-16.767117185274927,-16.767111962231482
