,z,a,b,stan_grad_reg_inc_beta,stan_inc_beta,stan_inc_beta_strict,inbeder,stan_grad_reg_inc_beta_log,stan_inc_beta_log,stan_inc_beta_strict_log,inbeder_log
52,0.5,1.5,125.0,0.006057035509984416,0.0010597264100215397,0.0010996245899877978,5.075005999970017e-05,-5.106534788364815,-6.849744507925932,-6.812786439256984,-9.888597757782975
53,0.5,1.5,1250.0,2.1173589993850327e-05,9.70076399971731e-05,0.000151960169969243,5.2978339990659154e-05,-10.76275590789117,-9.240720819705068,-8.791892111132425,-9.845627407365871
54,0.5,1.5,12500.0,2.180385999963619e-05,9.511860000202432e-05,0.00015884655000263591,5.244784002570668e-05,-10.733423539639752,-9.260386023919411,-8.747571916070463,-9.855691405558005
55,0.5,15.0,1.25,0.0012194221100071444,9.569608999299817e-05,0.00015695621001214023,0.0001126724200003082,-6.709378212780948,-9.254333117257502,-8.759543708640706,-9.09102588736165
56,0.5,15.0,12.5,0.001563662429980468,0.0001348869599678437,0.00020994856000470464,0.00018377254000370157,-6.460724497763703,-8.911073463856944,-8.468648009611083,-8.60181176070746
57,0.5,15.0,125.0,0.005551774810010101,0.0008031456699973205,0.0009079294399998617,7.305978000658797e-05,-5.193637616756901,-7.126974453250235,-7.004343891633755,-9.524232547735151
58,0.5,15.0,1250.0,2.2492649986816104e-05,9.086985999601894e-05,0.0001469888700012234,5.436272000224562e-05,-10.702321969373887,-9.3060821849645,-8.8251536883294,-9.819831933100064
59,0.5,15.0,12500.0,2.258701999380719e-05,9.268515997973737e-05,0.0001514937899992219,6.284649000008357e-05,-10.698135153237656,-9.286302184726154,-8.794965923959113,-9.674815471741574
60,0.5,150.0,1.25,0.0010131669600013994,0.00010012066002673236,0.00015642071000911527,5.133226000907598e-05,-6.894674249920964,-9.209134499065934,-8.762961321681335,-9.877191153351454
61,0.5,150.0,12.5,0.001134392169988132,0.0001077270700261579,0.00018332861000089907,5.333970999345183e-05,-6.781658304547916,-9.135909658808908,-8.604230332369214,-9.838829476168346
62,0.5,150.0,125.0,0.002987419230012165,0.0002471907899962389,0.0003657716599991545,0.0003157503499824088,-5.8133453980691785,-8.305350090371578,-7.913501299040612,-8.060558688318109
63,0.5,150.0,1250.0,2.2819360019639134e-05,0.00010903182002948597,0.00018082000999129378,5.5994280010054354e-05,-10.687901258637051,-9.123870791461473,-8.618008441399587,-9.790261015123644
64,0.5,150.0,12500.0,2.6144570001633837e-05,0.00010007797998696333,0.00015228717998979846,5.8974440034944566e-05,-10.551869037136274,-9.209560875992498,-8.789742477641626,-9.738406427672043
65,0.5,1500.0,1.25,2.1795450011268257e-05,0.00010104919001605595,0.0002191502599816886,7.955322002089815e-05,-10.733809325032691,-9.199903129821625,-8.425752944781708,-9.439084326049995
66,0.5,1500.0,12.5,2.5362710002809762e-05,0.00013325178999366473,0.00018501776001357938,5.1565490030043295e-05,-10.582230572794979,-8.923270061660219,-8.59505873742026,-9.872657907089195
67,0.5,1500.0,125.0,2.7693370029737707e-05,9.57135199860204e-05,0.00016127828999742632,5.278477998217568e-05,-10.494317522526492,-9.254150994812633,-8.732379175832008,-9.849287666719697
68,0.5,1500.0,1250.0,2.6143969989789184e-05,0.00041881650999130214,0.0006791610900108936,0.00026258226000209107,-10.551891987168721,-7.778077657607144,-7.294652212577982,-8.244946153586632
69,0.5,1500.0,12500.0,2.6063420009450055e-05,0.0001239299699955154,0.0001717302299948642,5.5750709980202376e-05,-10.554977758905505,-8.995793909995845,-8.669585742687596,-9.794620412634242
70,0.5,15000.0,1.25,2.2884280006110203e-05,9.83338199876016e-05,0.000159271330012416,5.242670998995891e-05,-10.685060345742698,-9.227142541278353,-8.744901332057884,-9.856094363874021
71,0.5,15000.0,12.5,2.0984719994885382e-05,9.282311999413651e-05,0.00014886248001857893,5.110142999910749e-05,-10.771716004375417,-9.284814811333954,-8.812487631097534,-9.881698076819212
72,0.5,15000.0,125.0,2.3374190022877882e-05,9.173727998131654e-05,0.00015569035000225994,5.629283001326257e-05,-10.663878134817582,-9.296581718446518,-8.767641459193666,-9.784943384156758
73,0.5,15000.0,1250.0,2.6004610008385496e-05,9.734938001201954e-05,0.00016721288000553613,6.322520002868259e-05,-10.557236727645174,-9.237204194815348,-8.696242826754668,-9.668807601653937
74,0.5,15000.0,12500.0,2.8128580015618355e-05,0.0005503389799923753,0.000994692730018869,6.021706998581067e-05,-10.478724416096096,-7.504976142330535,-6.9130766825499474,-9.71755469126193
75,0.75,1.5,1.25,0.002541376930021215,0.00020867066999926464,0.00036279809999541614,9.507752998615616e-05,-5.975049246400418,-8.47475329041633,-7.921664076794845,-9.26081789407901
76,0.75,1.5,12.5,0.0043351348999931365,0.0005069955499857315,0.0006663787999787019,9.043695998116163e-05,-5.441002550434933,-7.587008331560069,-7.313652280374727,-9.310857524773132
77,0.75,1.5,125.0,0.015669692880001095,0.0037236867799947506,0.003964726980011619,4.977874999894993e-05,-4.156026822040411,-5.593041031591542,-5.530318283766334,-9.907922371847336
78,0.75,1.5,1250.0,2.387993998127058e-05,5.73283600169816e-05,8.786304999375716e-05,5.544956002268009e-05,-10.642471782790158,-9.766715117471255,-9.339731205771987,-9.800036778867005
79,0.75,1.5,12500.0,2.2625700003118253e-05,6.087448997277534e-05,8.999113000754733e-05,5.259512003249256e-05,-10.696424129492554,-9.70669635486725,-9.315799447962615,-9.852887217572151
80,0.75,15.0,1.25,0.002647363059986674,0.00022175572998094138,0.00037124198002857155,0.00017348470999422716,-5.93419120609967,-8.413934097284566,-7.898656470697347,-8.659421089295183
81,0.75,15.0,12.5,0.004093520529968373,0.00039785252996807683,0.0006307415700212005,0.0001513759799854597,-5.498349913899966,-7.8294291490605925,-7.368614335540425,-8.79574388221959
82,0.75,15.0,125.0,0.015090902650008502,0.003147661100010737,0.0034203498500210115,5.451200002426049e-05,-4.193663190230721,-5.761095609873239,-5.6780124378116525,-9.817089696600615
83,0.75,15.0,1250.0,2.9399049999483396e-05,5.46214999849326e-05,8.572315000492381e-05,6.115211002907018e-05,-10.434548197084455,-9.815082980103693,-9.36438764042647,-9.702146190636213
84,0.75,15.0,12500.0,2.24001799870166e-05,5.5936360004125165e-05,8.930284002417466e-05,5.5267610005103055e-05,-10.706441564000892,-9.791295941951393,-9.323477267405284,-9.803323535226985
85,0.75,150.0,1.25,0.002459150940012478,0.0002272103300128947,0.00035399805998167724,6.562776998180198e-05,-6.007939134950963,-8.389634405544802,-7.946219125123265,-9.631511628696765
86,0.75,150.0,12.5,0.0029664410399709595,0.00037608003000059396,0.0004294835600012448,0.0001301491000049282,-5.820392347746774,-7.885708591476561,-7.752927094336007,-8.946829841607707
87,0.75,150.0,125.0,0.012547886680004013,0.0016356184599862899,0.001948115119994327,0.0001713928000026499,-4.378203019615427,-6.415734283167772,-6.240892979001595,-8.67155255966862
88,0.75,150.0,1250.0,2.541962003306253e-05,6.225057000847301e-05,0.00010019360001024324,5.7852650024869944e-05,-10.579989239873198,-9.684342865898762,-9.208406243506683,-9.757611296819405
89,0.75,150.0,12500.0,2.6316990006307605e-05,5.7425949999014845e-05,8.7891410003067e-05,5.751331002102233e-05,-10.545295819509406,-9.765014266225736,-9.33940848270076,-9.763494158321537
90,0.75,1500.0,1.25,0.0023338644199975534,0.00020803769999474752,0.00036812776001170276,5.452723999042064e-05,-6.0602298359234545,-8.477791244712,-7.907080506101428,-9.816810164823663
91,0.75,1500.0,12.5,0.0027216184899953077,0.00021903133998421253,0.0003945029699752922,5.069736998848384e-05,-5.9065285425497125,-8.426295733435568,-7.837883889252204,-9.88963652270704
92,0.75,1500.0,125.0,0.00324663542000053,0.00027258737001830015,0.00046092964003037197,5.255705000308808e-05,-5.7301360742719325,-8.207551371329473,-7.682265151278922,-9.853611311636115
93,0.75,1500.0,1250.0,3.356994999194285e-05,0.013254079020007338,0.01486177791000955,7.936736998090055e-05,-10.301879236638532,-4.323449923359577,-4.208962602837888,-9.441423231596715
94,0.75,1500.0,12500.0,2.7415549993747845e-05,5.8274340008210854e-05,0.00010420950999105116,6.0097740024502856e-05,-10.504400187527704,-9.750348698577014,-9.169107166100815,-9.719538320715788
95,0.75,15000.0,1.25,2.3428700005752033e-05,0.00028620340999623294,0.0004246955199778313,5.637387999740895e-05,-10.661548791160056,-8.158807776181131,-7.764138069375442,-9.78350462734705
96,0.75,15000.0,12.5,2.9780770018987825e-05,0.0002243729399924632,0.0003737723199810716,5.2188660010870083e-05,-10.42164767412571,-8.402200979855964,-7.891863716029587,-9.860645327847033
97,0.75,15000.0,125.0,2.308414001163328e-05,0.00024689934001798975,0.0005228258499846561,9.031984001921955e-05,-10.6763647558232,-8.306529834690874,-7.556262132171366,-9.312153409390827
98,0.75,15000.0,1250.0,3.651727001852123e-05,0.00035792599002888893,0.000663838049986225,6.406025997421238e-05,-10.217725258084196,-7.93518432469841,-7.31747233885959,-9.655686355499077
